,Employee ID,Project ID,Time/Duration,Peer(s) workload,Performance,Missed deadlines,Partly – Job satisfaction,Number of unplanned meetings,Number of meetings organized,Number of meetings participated,Average meeting time per day/week,Time series view of the usage of teams for the purpose of communication or documents,General leave patterns,Sick leave(s),Audio conversation(confidence),Video of the meeting:,Communication(changes present or not),On an office laptop,Periodic employee survey feedbacks,External factors(interference),Personality style
1,fffe320039000123490320,4,8,2,3.8,13,Disagree,8,5,11.68076404,4.469952681,3.654121623,2,1,1,,No,15.96974604,neutral,Often,INFJ
2,fffe32003000360033003200,13,6,1,5,13,Strong Agree,10,3,13.90092956,1.191508851,44.98994696,8,4,0.3486,0,Don't know,8.10992892,positive,Rarely,ENTP
3,fffe3700360033003500,13,6,2,5.8,11,Disagree,9,0,4.524664518,3.179396763,12.50007331,2,1,0.6837,,No,12.30413456,neutral,Rarely,INTP
4,fffe31003300320037003900,14,7,1,2.6,11,Disagree,12,8,10.23626835,4.429034674,81,2,1,1,0.7033,No,12.97095905,negative,Often,INTJ
5,fffe32003400380032003900,2,7,3,6.9,12,Neither,13,4,14.9143131,4.181377543,9.999953883,4,2,1,1,Don't know,9.206541148,negative,Never,ENTJ
6,fffe31003900340031003600,5,7,2,3.6,9,Agree,9,1,2.095011082,1.734461698,80.64545455,2,1,1,0.6842,No,10.22043852,negative,Sometimes,INTJ
7,fffe3300350037003500,11,7,3,7.9,15,Disagree,8,0,6.88162186,3.906217048,36.00033495,2,1,0.6745,0,No,15.28909287,positive,Sometimes,INFJ
8,fffe33003300340039003100,10,7,2,4.4,9,Agree,7,6,11.9648141,5.010389604,44.00102458,2,1,0.634,,No,14.794451,neutral,Never,INTJ
9,fffe32003600320037003400,8,4,3,5.852571429,13,Disagree,7,8,12.40667393,5.433757926,41.80088889,2,1,0.6559,,No,13.62748147,positive,Sometimes,INFJ
10,fffe32003200300034003700,4,6,3,5.852571429,9,Strong Disagree,7,8,9.502644258,4.805987974,75.8956538,2,1,1,,Don't know,13.62969621,positive,Never,INTP
11,fffe31003600320030003200,5,10,2,5.3,1,Strong Disagree,6,5,10.52186718,2.332775804,72.73157554,4,2,0.6769,0,No,12.18157434,neutral,Sometimes,INFJ
12,fffe33003100330032003700,5,7,0,1.8,13,Neither,11,8,4.977433075,3.585036132,46.67970157,4,2,1,,No,9.518650858,positive,Never,ENFJ
13,fffe3400310035003800,7,7,2,5.852571429,13,Disagree,14,6,6.506272451,4.565058348,42.98458017,8,4,1,,No,8.234958958,positive,Sometimes,INFJ
14,fffe32003100300030003700,6,8,1,5.852571429,6,Agree,11,0,10.29024024,1.354046373,54.99280903,6,3,0.6451,,No,14.69617224,positive,Never,INTJ
15,fffe31003800330032003500,11,7,1,5.8,15,Disagree,5,7,1.046607586,2.177422767,3.70000326,4,2,1,,Don't know,10.60817032,positive,Never,INTP
16,fffe33003100330036003300,6,8,3,4.7,3,Strong Agree,6,2,12.18456369,1.255814183,70.02859927,4,2,0.6842,0.3684,No,15.01041345,negative,Rarely,INTP
17,fffe31003700350033003100,4,6,1,5.9,9,Neither,11,3,3.003818154,0.946761057,32.05214391,2,1,1,,Don't know,8.168135238,positive,Sometimes,INFJ
18,fffe33003200360037003000,13,8,3,6.7,12,Disagree,4,5,1.115328959,0.848359418,73.73393447,2,1,1,1,No,10.24773936,negative,Sometimes,INFP
19,fffe31003500350030003400,2,9,2,4,2,Disagree,14,5,0.851569921,2.248762302,12.64573333,2,1,1,,Yes,8.145996761,positive,Sometimes,INFJ
20,fffe31003000380035003800,10,8,3,5.852571429,8,Agree,14,6,5.534302116,2.336519471,3.129961803,2,1,1,,Yes,12.50601634,positive,NA,INFP
21,fffe3300350037003200,2,2,2,7.6,11,Strong Agree,5,5,5.47482597,0.394082125,84.65451409,2,5,0.6705,0.3614,No,12.00809372,negative,Sometimes,INTP
22,fffe31003300360039003000,5,4,1,6.3,4,Disagree,10,8,0.725423834,4.777711316,13.59887603,2,1,1,,No,13.58223123,positive,Never,INFJ
23,fffe32003700370038003300,1,5,1,6.7,5,Disagree,11,3,0.174003614,3.383702538,20.00171014,2,1,1,,No,9.59183859,positive,Often,ENTJ
24,fffe31003800390035003300,7,7,3,7.7,4,Disagree,13,7,14.15948989,3.787692248,52.00206064,2,1,1,,No,15.14361681,neutral,Never,INFP
25,fffe3700370035003600,1,5,3,5.852571429,0,Agree,8,1,1.778437907,2.091917687,5.999835575,8,4,1,0.3557,Don't know,13.6536321,negative,Rarely,ENTJ
26,fffe3700300033003500,13,7,3,5.8,3,Agree,7,6,9.203024288,1.187376054,40.650098,2,1,1,1,No,14.5378919,negative,Sometimes,INFP
27,fffe3700370038003000,7,6,2,6.6,4,Neither,14,7,0.165193409,4.252840251,49.98997494,6,3,1,0.6614,No,12.0832712,negative,NA,ENFP
28,fffe3200340036003400,6,6,2,7.4,8,Strong Agree,6,3,1.475590308,2.149264486,45.98658991,8,4,0.6854,,Don't know,8.383161667,neutral,Rarely,ISFP
29,fffe3600330034003600,7,7,2,6.7,12,Strong Disagree,13,1,11.51788317,0.382970863,1.4000607,4,2,1,1,No,13.26727761,negative,Sometimes,INFP
30,fffe31003600310031003600,5,9,2,5.852571429,9,Neither,11,6,11.66008868,5.618856276,2.100212706,6,3,0.615,0,No,14.33091319,neutral,Sometimes,INFJ
31,fffe3400310034003500,2,8,1,3.6,14,Strong Agree,7,4,8.982415121,0.086936704,1.259933609,6,3,1,1,No,9.730633203,negative,Never,INFP
32,fffe32003300340037003400,13,8,1,3.9,10,Neither,14,7,10.42499256,2.286968081,3.999977346,2,1,1,,No,14.80389532,neutral,Rarely,INFJ
33,fffe3500380031003000,5,6,0,3,13,Neither,11,8,13.91552167,0.988238428,81.33839269,2,1,1,1,No,14.7187866,negative,Sometimes,INTP
34,fffe32003400340039003400,5,6,1,4.7,3,Neither,9,3,6.890218866,2.836769275,29.99993952,2,1,1,1,Yes,12.60513804,negative,Sometimes,INFJ
35,fffe31003500310034003800,2,7,4,8.7,7,Disagree,11,0,8.319372246,5.633163009,66,4,2,1,,No,12.31212767,positive,Sometimes,ENFJ
36,fffe32003700310030003800,8,7,3,4.4,15,Agree,3,2,11.31868202,3.757248046,2.300026653,2,1,0.6207,,No,11.7686543,neutral,Rarely,INFJ
37,fffe32003800300036003300,3,7,3,5.8,5,Agree,6,3,2.621206953,5.197875189,1.700031496,2,1,1,,No,14.11993635,positive,Rarely,INTJ
38,fffe390036003000,1,9,0,3.9,15,Disagree,9,6,5.494745085,2.099508492,45,2,1,1,,No,9.595306493,positive,NA,INFP
39,fffe32003700390039003300,8,5,3,6.6,8,Agree,11,1,5.903235989,0.693819199,34.37778952,4,2,0.6791,0,No,15.30547093,neutral,NA,ENFP
40,fffe32003500390036003500,3,7,4,7.3,12,Neither,13,2,12.2646244,1.812800078,36.49987464,6,3,1,1,No,11.29356889,negative,Rarely,ENTJ
41,fffe33003400390030003300,13,8,3,5.852571429,15,Disagree,13,3,8.252764448,0.099767479,5.098265306,6,3,0.6639,,No,15.37556118,positive,Sometimes,ISTP
42,fffe3200350030003300,13,7,1,5.4,1,Disagree,7,1,8.087237242,4.256187852,0.720008677,6,3,0.6688,0.6688,Don't know,13.72975707,negative,NA,INFJ
43,fffe3800360036003400,1,5,2,5,9,Strong Agree,13,8,12.91919049,2.13021597,4.999875093,6,3,1,,No,15.63482802,neutral,Sometimes,INTP
